Nombre,Cod. Hex.
Lirio,#7F69A5
Lila claro,#DCD0FF
Lila lavanda​,#D3C1DD
Lila francés​,#DEB7D9
Malva​,#E0B0FF
Lila,#D891EF
Lila​,#C8A2C8
Lavanda​,#B57EDC
Magenta,#FF00FF
Rosa o rosado,#FF80BF
Rosa,#F6AE97
Fucsia,#FF0080
Rojo púrpura,#BF0040
Carne o piel,#FCD0B4
Orceína,#C20073
Rosa coral,#EB6362
Rosa mexicano,#E4007C
Púrpura rojizo,#A11480
Rojo purpúreo,#E30049
Blanco,#FFFFFF
Blanco de zinc,#FAFBFD
Gris,#808080
Gris claro,#BFBFBF
Gris oscuro,#404040
Gris acorazado,#848482
Gris cadete​,#81878B
Gris frío,#496063
Gris de Davy o plomo​,#555555
Bistre,#80755A
Gris ceniza,#CDCDCD
Gris de Davy,#555555
Gris de Payne,#36454F
Gris de Payne​ o azul pizarra​,#536878
Lino,#D7D0B7
Platino​,#E5E4E2
Plata​,#BEBEBE
Blanco humo​,#B4BCC0
Aluminio​,#B9B8B5
Alice blue​,#91A3B0
Humo o gris humo​,#84939C
Elefante,#9B8F79
Zinc o cinc​,#91888B
Acero​,#8B8589
Níquel​,#8F817F
Xanadú​,#738678
Torcaza o taupe,#87794E
Pizarra​,#5D6770
Plomo​,#666666
Gris de campaña​,#59646A
Asfalto o pizarra​,#555555
Antracita negro-gris metálico​,#383E42
Azabache​,#343434
Negro,#000000
Carbón,#191919
Cordobán,#3B2A21
Negro bujía,#2A3223
Negro de humo,#382212
Gules,#ED1C24
Azur,#0071BC
Sinople,#008F4C
Sable,#000000
Plata o argén,#E3E4E5
Sanguíneo,#AA0000
Leonado,#AF6E37
Anaranjado,#FF6600
Carnación,#FCD1C6
Cenizo,#808080
Rosso Corsa,#CC0000
Portland orange,#FF5A36
Amarillo selectivo,#FFBA00
British racing green,#004225
Azul Brandeis,#0061A9
Azul Columbia,#D1EBF7
Azul Eton,#96C8A2
Azul Tiffany,#81D8D0
Duke blue,#001A57
Tufts blue,#417DC1
UCLA blue,#536895
Café cortado cósmico,#FFF8E7
